Place,Description,Coordinates,Latitude,Longitude
Central do Brasil,terminal,"(-22.904790, -43.186179)",-22.904790,-43.186179
Metrô Estação Uruguaiana,,"(-22.903071, -43.186901)",-22.903071,-43.186901
Rua Buenos Aires,,"(-22.901588, -43.181274)",-22.901588,-43.181274
Rua da Alfândega,,"(-22.896643, -43.176369)",-22.896643,-43.176369
Rua do Russel,antigo prédio do Viva Rio,"(-22.928613, -43.184686)",-22.928613,-43.184686
Cabeção do Getúlio,,"(-22.923375, -43.185267)",-22.923375,-43.185267
Arco do Teles,,"(-22.902635, -43.176299)",-22.902635,-43.176299
Mirante do Rato Molhado,,"(-22.903590, -43.182970)",-22.903590,-43.182970
Praça Odilo Costa,,"(-22.903957, -43.182434)",-22.903957,-43.182434
Delegacia de Santa,7a DP,"(-22.909828, -43.183571)",-22.909828,-43.183571
Largo do Gomes,,"(-22.912758, -43.188249)",-22.912758,-43.188249
Largo das Neves,,"(-22.914769, -43.187392)",-22.914769,-43.187392
Largo dos Guimarães,cinema,"(-22.921112, -43.189856)",-22.921112,-43.189856
Largo do Curvelo,,"(-22.914810, -43.187054)",-22.914810,-43.187054
Rua Taylor,,"(-22.911399, -43.187778)",-22.911399,-43.187778
Rua do Passeio,,"(-22.908198, -43.177293)",-22.908198,-43.177293
Outeiro da Glória,,"(-22.921484, -43.175796)",-22.921484,-43.175796
Rua Joaquim Murtinho esquina com Francisco Muratori,"(-22.913886, -43.195480)",-22.913886,-43.195480
Fortaleza da Conceição,morro da Conceição,"(-22.903683, -43.181953)",-22.903683,-43.181953
Praça Santo Cristo,,"(-22.900846, -43.198900)",-22.900846,-43.198900
Rua Sara,Morro do Pinto,"(-22.901888, -43.190938)",-22.901888,-43.190938
Rua Carlos Gomes,Morro do Pinto,"(-22.901843, -43.191017)",-22.901843,-43.191017
Armazém da Utopia,,"(-22.899369, -43.184753)",-22.899369,-43.184753
Armazém 2,altura L'Oréal,"(-22.898807, -43.184790)",-22.898807,-43.184790
Praça do Russel,,"(-22.926365, -43.181288)",-22.926365,-43.181288
Rua Hermenegildo de Barros esquina com Cândido Mendes,"(-22.907610, -43.185752)",-22.907610,-43.185752
